crypto,date,close,log_return,open,high,low,volume,target_7d,vol_30,sma,ema,momentum,cci,regime_label
BNBUSDT,2020-09-04,20.9712,0.029617169703646695,20.4027,21.83,19.2,5306193.02,0.19155973528758485,0.04770519689880498,22.63884285714286,22.59904899522724,-1.127600000000001,-150.91449630776415,0
BNBUSDT,2020-09-05,19.4698,-0.07428552076545758,20.9995,21.5539,18.011,4589184.15,0.3812149633658586,0.049323456435841746,22.443514285714286,22.181815795863606,-2.7346000000000004,-181.2778305126607,1
BNBUSDT,2020-09-06,23.142,0.1727846013364589,19.4737,23.4418,18.5283,8105158.28,0.2976657739877808,0.05896513999379573,22.535407142857142,22.309840356415126,1.2865000000000002,-49.25076266109472,1
BNBUSDT,2020-09-07,22.4426,-0.03068820998379662,23.1612,23.5545,20.0,5454222.91,0.33113203500371435,0.05904888166468361,22.5245,22.327541642226443,-0.15270000000000294,-27.557711469501804,1
BNBUSDT,2020-09-08,23.2837,0.036792606472009215,22.4428,23.42,21.2739,5158563.98,0.1524478566785401,0.05929136473630662,22.659892857142857,22.455029423262918,1.8954999999999984,9.82982324076967,1
BNBUSDT,2020-09-09,24.4716,0.049759716561806666,23.2745,24.5201,22.4139,4016452.51,0.1300196393910138,0.05993632028712995,22.822157142857144,22.723905500161194,2.271699999999999,75.06462660470784,1
BNBUSDT,2020-09-10,24.5489,0.0031537852152112578,24.4847,25.67,24.0568,4199327.55,0.0986821622987013,0.05870818358753333,22.924742857142856,22.967238100139703,1.4361999999999995,113.67291110318656,1
BNBUSDT,2020-09-11,25.399,0.03404275645135302,24.5579,25.6969,23.0677,3622605.07,0.08415614256529436,0.05894737010818886,23.090307142857142,23.291473020121078,2.3179000000000016,96.49739668690904,1
BNBUSDT,2020-09-12,28.505,0.11536970731281615,25.4,28.5305,25.3575,6538679.83,-0.04673386898911236,0.062262837289287276,23.48782142857143,23.9866099507716,5.565199999999997,185.5880498530345,1
BNBUSDT,2020-09-13,31.1656,0.08923541195838114,28.5044,32.4401,27.61,10646215.66,-0.16913780321817518,0.06331813728802609,24.026735714285714,24.943808624002056,7.544800000000002,222.45978720490092,1
BNBUSDT,2020-09-14,31.2523,0.002778051032136908,31.1656,33.3888,29.0,9039644.32,-0.30125653094293403,0.06330098728635576,24.60563571428571,25.78494080746845,8.104600000000001,184.87347708600672,1
BNBUSDT,2020-09-15,27.1181,-0.14189157185316503,31.2546,31.278,26.7123,7931354.646,-0.1201994700549367,0.06907336576920177,24.778157142857143,25.962695366472655,2.4152999999999984,90.83872553034642,1
BNBUSDT,2020-09-16,27.8695,0.027331499274280358,27.1148,28.4724,25.82,5777419.752,-0.1993216633254251,0.06918450620255087,24.99989285714286,26.2169359842763,3.1042999999999985,58.205100644273834,1
BNBUSDT,2020-09-17,27.095,-0.028183691877101236,27.8539,28.83,26.05,4620518.874,-0.09763988907178645,0.06927036320581774,25.481021428571427,26.334011186372795,6.735799999999998,47.698061204298696,1
BNBUSDT,2020-09-18,27.629,0.01951673671794607,27.1106,28.75,26.5708,4243135.999,-0.11237044175677502,0.06905106783016689,25.956578571428572,26.50667636152309,6.657800000000002,46.03607497074247,1
